PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50 Qualifier,EC50,EC50 Standard Error,S0,SInf,Hill Slope,Num. Points,Max. Activity,Activity at 0.10uM,Activity at 0.19uM,Activity at 0.38uM,Activity at 0.75uM,Activity at 0.80uM,Activity at 1.50uM,Activity at 1.60uM,Activity at 3.00uM,Activity at 6.00uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'<', '=', '>'",the concentration whereupon perceived activity reaches 50% of the maximum,the standard error for the calculated EC50 value,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the slope at EC50,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.1,0.19,0.38,0.75,0.8,1.5,1.6,3,6
1194,17517082,2454062,CC(C)(C)C1CCC2(CC1)C(=O)N(C(=O)N2)CC(=O)NC3=C(C4=C(S3)CCCCC4)C(=O)OC,Active,55,,,=,3.107,1.049,16.5,-100,4,14,-92,26,10.3,11,15.7,,14.4,,-38.4,-92
1195,26724425,4008711,COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)NC(=O)C3CCC3)N4CCCCC4,Active,56,,,=,2.441,1.029,1.1,-100,2.79,12,-63.9,2.5,0,1.9,-5.1,,-18.7,,-63.9,
1196,24814887,135472794,CC1=C(C=C(C=C1)NC2=NC3=C(C(=C2)C)C(=CC=C3)O)C.Cl,Active,56,,,=,2.809,1.083,-2.9,-100,2.28,13,-82.4,-5,4.3,-2.6,,-14.8,,-17.9,-59.5,-82.4
1197,14722839,1430426,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)C3=NC4=C(N3)C=C(C=C4)Cl,Active,55,,,=,2.968,1.061,0,-100,4,14,-91.8,12.8,0,-0.1,,-10.5,,1.9,-54.1,-91.8
1198,49664975,4895470,CC1=C(N(C2=NC=NC(=C12)NC3=CC=CC=C3OC)CCCN(C)C)C,Active,68,,,=,0.156,1.044,0,-95.9,2.44,12,-96.7,-24.4,-60.2,-86.4,,-95.1,,-93.6,-96.7,
1199,4247692,3241867,CC1CCN(CC1)S(=O)(=O)C2=CC3=C(C=C2)OC(=C3C)C(=O)NCC4=CC5=C(C=C4)OCO5,Active,60,,,=,1.04,1.074,0,-100,3.08,14,-97.5,2.8,11.9,-17,,-26.6,,-81.9,-95.8,-97.5
1200,56315558,5099491,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C3=CC(=NC4=CC=CC=C43)C5=CC(=C(C=C5)OC)OC)C,Active,55,,,=,2.932,1.062,0,-100,4,13,-101.4,7.6,2.6,3.9,,-7.9,,-4.2,-52.5,-101.4
1201,49645094,24747120,CC(C)C1=CC=C(C=C1)CNCCCSC2=NC=CC=N2.Cl,Active,68,,,=,0.163,1.081,0,-96.3,1.81,12,-94.6,-30.3,-52,-82.2,,-91.5,,-94.6,-94.6,
1202,3712437,321719,C1=CC(=CN=C1)COC(=O)NC2=CC(=C(C=C2)Cl)Cl,Active,56,,,=,2.496,1.074,-10.2,-100,3.28,12,-68.5,-3.6,-12.9,-11.8,-15.1,,-23.5,,-68.5,
1203,26728475,2806260,CCNC(=O)NC(=O)C1=CSC(=C1)[N+](=O)[O-],Active,64,,,=,0.415,1.183,0,-94,1.36,12,-89.8,-15.4,-20,-45.9,,-68.7,,-77.5,-89.8,
1204,22414054,901425,C1=C(OC(=C1)[N+](=O)[O-])C2=CC=NN2,Active,67,,,=,0.202,1.041,0,-101.5,1.7,14,-100.7,-21.8,-52.3,-72.5,,-93.8,,-99.1,-100.3,-100.7
1205,17416042,2215367,CN(C)C1=NC(=NC(=N1)NCC2=CC=CC=C2)SCC(=O)NC3=CC(=C(C=C3)Cl)Cl,Active,57,,,=,2.152,1.093,-18.2,-100,4,13,-100,-7.1,-23.5,-22,-26.8,,-28.7,,-86.9,-100
1206,14731941,9550178,CCN(CC)CCNC1=NC2=CC(=C(C=C2C3=NC(=NN31)C4=CC=CC=C4)OC)OC,Active,62,,,=,0.678,1.05,-7.2,-103.2,2.25,14,-102.9,-9.9,-11.8,-25.9,,-67.1,,-86.5,-102.2,-102.9
1207,49640771,24746788,COC1=C(C(=CC(=C1)CNCCCN2CCOCC2)Br)OCC=C.Cl,Active,63,,,=,0.521,1.068,-4.7,-92.9,2.54,14,-94.9,-7.7,-9.3,-32.5,-68.7,,-85,,-91,-94.9
1208,24804410,800048,CCN1C2=CC=CC=C2C(=C(C1=O)[N+](=O)[O-])Cl,Active,57,,,=,1.889,1.06,0,-100,4,13,-95.5,-7.1,8.2,5.6,,3.6,,-32.8,-90.4,-95.5
1209,861210,662466,CC(C)CN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)NCC4=CC=CS4)N,Active,57,,,=,2.17,1.091,-6.8,-100,1.67,14,-89.4,-5.1,-8.8,-12.1,-23.1,,-38.3,,-63.1,-89.4
1210,24829634,16196167,COC1=CC=CC(=C1)C2=NC(=CS2)CCl.Cl,Active,55,,,=,3.252,1.083,-13.3,-100,3.38,14,-87.9,-24.1,-7.4,-14,-10.2,,-16.3,,-52.5,-87.9
1211,17385842,135490259,C1=CC=C2C(=C1)C=CC(=C2/C=N/NC3=NN=C(C4=CC=CC=C43)C5=NC=CN5)O,Active,64,,,=,0.412,1.122,-2.2,-98.8,2.15,13,-99.2,-8.7,-9.6,-51.4,-71.7,,-99.2,,-96.7,-96.7
1212,26730307,2806956,C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)NC3=NN=C(S3)C(F)(F)F,Active,60,,,=,0.927,1.061,23.4,-100,3.92,13,-97.4,12.7,34.7,18.9,-13.8,,-84.7,,-92.5,-97.4
1213,3711975,677923,C1=CC=C(C=C1)C2=CC=C(C=C2)N3C=CN=C3,Inactive,0,,,>,30,,,,,11,-16.8,-3.9,-15.7,-6.8,,-16.8,,-7.4,-15.7,
1214,56316888,24979648,CC(C)CC1=NN=C(S1)NC(=O)C2=CC(=CC=C2)S(=O)(=O)N3CCN(CC3)C,Active,70,,,=,0.1,1.333,0,-50,0.84,13,-48.1,-22.9,-32.7,-38.1,,-41.5,,-46.9,-48.1,-46.5
1215,17413818,1253962,CC1=CC(=C(C=C1)C)NS(=O)(=O)C2=C(C=CC(=C2)C(=O)N3CCC4=CC=CC=C4C3)Cl,Active,57,,,=,2.064,1.121,-22.9,-100,2.06,14,-97.5,-16.4,-21.5,-34.2,,-33.5,,-49.5,-74,-97.5
1216,24795404,2949054,CC(C)(C)C1=CC(=C(C=C1)OCCCCNC)Cl.C(=O)(C(=O)O)O,Active,61,,,=,0.834,1.077,6.8,-100.8,2.45,14,-100,7.8,-2,0.2,-45,,-75.9,,-98.4,-100
1217,49713953,24789333,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)CN3C=C(N=N3)CCCCCCCCC(=O)O,Inactive,0,,,>,60,,,,,12,24,10.7,15.2,16.9,24,,15.8,,13.9,13.9
1218,4263956,2961787,C1=CC=C(C(=C1)C#N)NC(=O)C2=CC=CC=C2OCC(=O)NC3=CC4=C(C=C3)C5=CC=CC=C5O4,Active,55,,,=,2.848,1.184,7.4,-100,1.17,14,-65.7,8.9,-1.6,-1.2,-13.5,,-20.3,,-54.4,-65.7
1219,24811235,1562721,CCCCOC(=O)NC1=NN=C(S1)C(C)C,Active,59,,,=,1.264,1.117,25,-100,1.41,14,-96.1,25.2,14.4,10.5,-21.7,,-43.5,,-64.2,-96.1
1220,24825226,16195883,C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=C[C@H](C[C@H](O3)OCC4=CC=C(C=C4)CO)C5=CSC6=CC=CC=C65,Active,61,,,=,0.888,1.133,-0.2,-107.2,1.55,14,-100.6,0.3,-16.2,-20.3,-46.2,,-74.4,,-94.9,-100.6
1221,14729143,2976238,CCC1=CC=C(C=C1)N=C2C(=NN(N2O)C3=CC=CC=C3)[N+](=O)[O-],Active,63,,,=,0.461,1.063,-23.5,-100,4,14,-100.4,-28.7,-19.9,-49.1,,-91,,-99.9,-100.4,-100.3
1222,24810985,15994066,COC1=CC=CC=C1N2CCN(CC2)C3=NC=C(C4=CC=CC=C43)C(=O)N5CCN(CC5)C6=CC(=CC=C6)Cl,Active,56,,,=,2.287,1.08,25,-100,3.17,14,-102.9,26.3,22.9,33.5,,19.5,,-7.4,-59.1,-102.9
1223,22406843,2423635,CC(C)C1=CC2=C(C=C1)NC(=C2N=NC(=S)NC(C)C)O,Active,57,,,=,2.063,1.096,0,-100,4,14,-100.5,8.4,2.9,2.8,,-15.1,,-13.2,-96.7,-100.5
1224,22411316,2348603,CN(C1=CC=C(C=C1)OCC(=O)NC2=NC(=CS2)C3=CC=CC=C3)S(=O)(=O)C4=CC=C(C=C4)F,Active,59,,,=,1.136,1.204,25,-100,2.57,14,-98.7,52.8,47.5,40.9,,-25.8,,-53.9,-89.2,-98.7
1225,14737427,1207959,C1=CC=C(C=C1)C(=O)C2=C(OC3=C2C(=O)C4=CC=CC=C4C3=O)C(F)(F)F,Active,58,,,=,1.763,1.314,7.3,-100,4,12,-96.6,-3.8,-0.3,11,,19.9,,,-96.6,-94.6
1226,17403229,11957308,C1CN(CCN1CCO)CCOC2=CC(=CC=C2)Cl.Cl,Active,64,,,=,0.413,1.058,0,-95.5,2.48,13,-97.3,3.8,-9.9,-46.3,-74.8,,-90.7,,-95.4,-97.3
1227,24823499,4116967,C1=CC=C2C(=C1)C(=C(N2CC3=CC=C(C=C3)Cl)O)N=NC(=S)NC4=CC=CC=C4F,Active,60,,,=,1.058,1.092,16.6,-100,4,13,-99.7,5.4,16.7,14.6,6.4,,-90.4,,-99.6,-99.7
1228,14732540,1312356,CC(C)CN1C=NC2=C(C1=N)C(=C(N2CC3=CC=CO3)C4=CC=CC=C4)C5=CC=CC=C5,Active,61,,,=,0.879,1.103,-16.9,-102.5,2.09,14,-100.5,-22.3,-16,-27.4,-56.8,,-77.2,,-98.7,-100.5
1229,3713385,2383047,C1=CC=C2C(=C1)C=C(O2)C(=O)CSC3=CC=CC=[N+]3[O-],Active,52,,,=,11.3,1.973,23.5,-100,2.47,12,29.6,24.1,20.3,29.6,,18.1,,29.6,16.6,2.7
1230,17403177,3095090,CC1=CC(=C(C=C1)C)NC2=C(C=C(C=C2[N+](=O)[O-])C(=O)N3CC(=O)NC4=CC=CC=C43)[N+](=O)[O-],Active,60,,,=,0.992,1.063,22,-100,4,13,-101.7,30.9,24.4,7.2,,-10.5,,-88.6,-101.7,-101
1231,26664383,232432,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC=C(C=C6)N,Active,57,,,=,2.038,1.104,0,-100,2.11,12,-72.2,8.1,-2.6,-10.2,-13.2,,-29.8,,-72.2,
1232,24796176,2204181,CCN1C2=C(C=C(C=C2)Br)C(=C1O)C3=C4C=CC=CC4=NC3=O,Active,59,,,=,1.297,1.128,-7,-96.8,2.29,13,-92.8,-2.5,-3.2,-23.5,,-23.6,,-64.2,-86.5,-92.8
1233,17412202,1378292,CN(CCC1=CC=CC=C1)CC2=CC(=C(C=C2)OCC3=CC=CC=C3)OC,Active,70,,,<,0.1,,,,,14,-98.7,-97.5,-97.7,-97.6,-98.7,,-98,,-97.8,-97
1234,17413069,2966759,COC1=C(C(=CC(=C1)CNCC2=CC=NC=C2)Br)OCC3=CC=CC=C3F.Cl,Active,55,,,=,2.831,1.073,-5.2,-100,4,12,-89.5,,-9.1,-6.5,,-3.3,,-10,-60.6,-89.5
1235,17411353,9559887,CN1C2=CC=CC=C2C(=C1N3CCOCC3)/C=N/OC(=O)C4=CC=C(C=C4)F,Active,62,,,=,0.596,1.05,24.5,-100.1,4,13,-99.7,14.3,25.2,11.9,,-74.6,,-98.7,-97.9,-99.7
1236,51089504,18575622,COC1=C2C(=C(C=C1)OC)SC(=N2)N3CCN(CC3)C(=O)C4=CC=C(S4)[N+](=O)[O-],Active,57,,,=,1.8,1.458,-25,-100,1.07,13,-98.5,-32.8,-36.8,-36.3,,-46.7,,-56,-61.5,-98.5
1237,24783695,5553820,CC1=C(C=C(C=C1)NC(=S)/N=C(\N)/NC2=NC(=C3C=C(C(=CC3=N2)C)C)C)C,Active,57,,,=,1.977,1.068,-6.8,-96.2,4,13,-94.7,-7.5,1.8,-8.3,-11.4,,-28.1,,-82.8,-94.7
1238,47199649,6463453,CCOC1=CC2=C(C=C1)OC(=O)C=C2CN3CCN(CC3)CC4=CC=CC=C4,Active,67,,,=,0.216,1.108,0,-100,1.23,12,-96.9,-24.9,-54.6,-57.5,,-88.6,,-91.3,-96.9,
1239,24818320,1473211,C1=CC=C(C=C1)C(=O)C2=CNC(=C2)C(=O)NNC3=CC=CC=C3,Active,58,,,=,1.714,1.069,-8.2,-100.7,3.95,13,-99.2,-3.9,-6.7,-13.2,,-15.3,,-47.5,-92.8,-99.2
1240,24780030,6862946,C1=CC(=C(C=C1Cl)Cl)NC(=S)N/N=C/C2=CC=C(S2)[N+](=O)[O-],Active,62,,,=,0.651,1.117,5.7,-100,1.97,13,-97.6,1,3.8,-23,-54.8,,-81.2,,-97.6,-96.7
1241,24818754,1491020,C1CCN(C1)CC2=CC(=C(C=C2)SC3=CC=C(C=C3)Cl)[N+](=O)[O-],Active,66,,,=,0.232,1.105,0,-107.5,1.07,14,-101.8,-32.7,-50.3,-60.3,-88.9,,-96,,-101.5,-101.8
1242,24798458,16190129,COC1=C(C=C(C=C1)CC2=NOC(=N2)CN3CCCN(CC3)C4CC5=CC=CC=C5C4)OC,Active,59,,,=,1.299,1.115,-18,-100,1.83,14,-98.3,-16.7,-20.4,-28,,-44.3,,-61.1,-89.1,-98.3
1243,17504521,12004519,CC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4N3)[N+](=O)[O-],Active,56,,,=,2.473,1.101,-9.9,-100,4,14,-97.5,-17.9,-22,-4.4,-2.8,,-9.7,,-77.6,-97.5
1244,17504211,5725290,CCN1C2=CC=CC=C2/C(=C\C3=NC4=CC=CC=C4C(=O)N3C5=CC=C(C=C5)C)/C1=O,Active,57,,,=,1.788,1.074,-3.2,-100.9,4,13,-98.3,-2.2,-0.7,-5.8,,-7.7,,-39.8,-93.3,-98.3
1245,863192,664439,CCN1CCN(CC1)C2=C(N=C(O2)COC3=CC=C(C=C3)C4=CC=CC=C4)C#N,Active,56,,,=,2.657,1.071,-0.5,-100,2.3,14,-86.2,3.4,-1.3,-6.6,,-4.7,,-23.8,-57.8,-86.2
1246,22414801,3628956,C1CN(CCN1CCCNC(=O)C2=CC(=CC=C2)[N+](=O)[O-])CCCNC(=O)C3=CC(=CC=C3)[N+](=O)[O-],Active,60,,,=,1.106,1.1,-3.4,-100.2,2.39,14,-98.4,0.6,-12.6,-5.6,-32.7,,-67.8,,-92.6,-98.4
1247,4255374,889490,COC1=CC2=C(C=C1)C3=C(C2)SC(=N3)NC(=O)C4=CC=CS4,Active,57,,,=,2.009,1.074,-7.7,-100,2.96,14,-98.3,-8.6,-5.2,-9,,-14.9,,-38.4,-78.2,-98.3
1248,17385799,1814625,CCOC1=C(C(=CC(=C1)CNC2=CC=C(C=C2)Br)Br)OCC(=O)NC(C)(C)C,Active,57,,,=,1.909,1.073,22.5,-100,3.65,13,-100.3,18.6,31.4,26.6,4.4,,-9.5,,-82.8,-100.3
1249,24813235,1262919,C1CN(CCN1CC2=CC(=C(C3=C2C=CC=N3)O)[N+](=O)[O-])C4=CC=CC(=C4)C(F)(F)F,Active,63,,,=,0.493,1.047,6.7,-101.3,3.33,14,-101.7,4.9,3.6,-25.9,-79.6,,-98.6,,-101.7,-100.9
1250,24795232,2970165,CCN(CC)CCSC1=NC2=C(C3=CC=CC=C3N2CC4=CC=CC=C4)N=N1,Active,65,,,=,0.284,1.206,0,-109,0.95,14,-101,-37.2,-37.9,-57.5,-82.5,,-94.2,,-97.2,-101
1251,26725693,1878132,COC1=CC(=CC(=C1OC)OC)C(=O)NNC(=S)NC(=O)C2=CC=C(C=C2)F,Active,61,,,=,0.791,1.079,4.3,-88.7,4,13,-91.5,-0.2,3.2,12.6,,-42.9,,-91.5,-87.4,-83.2
1252,24820728,975848,C1=CC(=C(C=C1NC(=O)NCCC2=CC=NC=C2)Cl)Cl,Active,59,,,=,1.344,1.103,-19.8,-97.2,2.48,14,-96,-18.4,-17.5,-30,,-32.9,,-69,-86.2,-96
1253,17386729,1814627,CCOC1=C(C(=CC(=C1)CNC2=CC=CC3=CC=CC=C32)Br)OCC(=O)NC(C)(C)C,Active,56,,,=,2.308,1.073,6.6,-100,2.25,14,-94.4,2.8,11.2,7.7,,-8.2,,-25.2,-58.8,-94.4
1254,49648506,218206,CN1CCC(CC1)OC(=O)C2=CC=CC=C2.Cl,Active,66,,,=,0.263,1.158,0,-103.8,1.03,14,-96.9,-35.6,-35.9,-59.7,-81,,-92.4,,-95.9,-96.9
1255,24807457,2939776,CC1=CC=C(C=C1)CC(=O)NC2=NC=C(S2)[N+](=O)[O-],Active,62,,,=,0.687,1.059,-2.5,-99.5,3.14,14,-100.4,-6.3,-0.5,-15.5,-58.5,,-90.1,,-98.8,-100.4
1256,24810205,3600304,CC1=C(C=C(C=C1)Cl)NC(=S)N(CC2=CN=CC=C2)CC3=CC=CC=C3Cl,Active,63,,,=,0.554,1.104,-8.8,-92.2,2.61,14,-93.1,-4.6,-21.7,-27.5,-68.1,,-86,,-89.6,-93.1
1257,22409498,6901770,CC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2SCC(=O)N/N=C/C4=C(N(N=C4C)C5=CC=CC=C5)C,Active,58,,,=,1.6,1.08,0,-100,2,14,-98.6,5,-1.2,-1.2,-20.9,,-47.6,,-73.7,-98.6
1258,17413575,2973578,COC1=CC=C(C=C1)N2N=C(C(=NCCC3=CC=C(C=C3)Cl)N2O)[N+](=O)[O-],Active,62,,,=,0.602,1.06,-10.3,-100.1,2.7,14,-98.7,-12.3,-11.7,-32.9,-65.7,,-96.4,,-98.7,-98.3
1259,24794842,2199938,CC1=CC\2=C(C(=C1)Br)NC(=O)/C2=C\C(=O)C3=CC=CS3,Active,57,,,=,1.947,1.113,0,-100,1.73,14,-91.7,3.2,-12.4,-1.2,,-28.9,,-29.8,-71.7,-91.7
1260,17504557,2923730,CN1CCN(CC1)CCOC2=CC(=C(C=C2)Cl)Cl.C(=O)(C(=O)O)O,Active,63,,,=,0.516,1.104,-25,-100,3,14,-98.7,-29.5,-34.2,-36.8,,-91.5,,-95.2,-98.7,-98.6
1261,56315356,24978959,CCCNC(=O)C1=CC(=C(C=C1)N2CCC3(CC2)CC(=NO3)C4=CC(=CC=C4)Br)NC(=O)C5=CC=CC=C5,Active,56,,,=,2.501,1.095,-3.5,-100,1.91,14,-88.4,-8.9,0.3,-0.5,,-20.3,,-31.1,-57.2,-88.4
1262,24783990,16188302,CCN(C1=CC=CC(=C1)C)C(=O)C2=CC3=C(S2)C4=C(C=CC(=C4)C)NC3=O,Active,62,,,=,0.708,1.118,-6.6,-75.9,1.68,13,-75.1,-9.3,-12.8,-25,-42.2,,-62,,-68.3,-75.1
1263,24830815,2519271,C1CC1N(CC2=NN=C(O2)C3=CC=CC=C3Cl)C(=O)C4=CC(=CC(=C4)[N+](=O)[O-])[N+](=O)[O-],Active,70,,,<,0.1,,,,,13,-101.6,-94.5,-89.7,-98.8,-101.1,,-101.2,,-101.6,-101.5
1264,4245873,3240292,C1CN(CCN1C2=CC=CC=N2)C(=O)C3=CC(=NC4=CC=CC=C43)C5=CC=NC=C5,Active,60,,,=,1.097,1.113,5.2,-81,2.37,14,-78.9,-2.5,12.6,-1.9,,-24,,-54.2,-75.2,-78.9
1265,49678979,5335613,C/C(=N\NC(=O)C1=CC(=C(C=C1)Cl)Cl)/C2=CC=CC=N2,Active,69,,,=,0.125,1.074,0,-96.8,2.19,14,-97.9,-39.9,-63,-97.9,-97.7,,-95.3,,-94.3,-93.6
1266,24816742,2157931,CC1=C(C2=C(N1)C=CC(=C2)F)CCN(CC3=CN=CC=C3)C(=S)NC4=CC(=CC=C4)F,Active,62,,,=,0.608,1.08,25,-100,4,14,-97.5,44.9,25.2,19.2,-68.1,,-92.7,,-95,-97.5
1267,47204445,9594956,CC1=C2C(=CC=C1)C(=CC(=N2)C)N/N=C/C3=CC=C(C=C3)OC,Active,59,,,=,1.142,1.082,0,-100,2.23,13,-101.3,5.5,2.2,-15,,-32,,-60.7,-98.9,-101.3
1268,24829949,16196194,CC1=CC=C(C=C1)C2=CSC(=[N+]2CC=C)NC3=C(N(N(C3=O)C4=CC=CC=C4)C)C.[Br-],Active,53,,,=,4.987,1.281,0,-100,0.59,13,-54.2,-4.5,-12.7,-26.1,,-31.5,,-25.4,-43.1,-54.2
1269,49678827,135829855,CCOC1=CC=C(C=C1)N=NC2=C3C=CC=NC3=C(C=C2)O,Active,62,,,=,0.65,1.07,7.6,-88.8,4,13,-93,-0.7,8.8,7.2,-58.6,,-82,,-88.7,-93
1270,49679453,135461291,COC1=C(C=C(C(=C1)/C=C/C2=NC3=C(C=CC=C3O)C=C2)Br)O,Active,54,,,=,3.921,1.101,-10.4,-100,4,13,-95.6,-18.1,-1.8,-5.4,,-12.6,,-18.7,-29,-95.6
1271,49717822,9613213,C1=CC(=CC=C1/C=C/C(=O)OC2=CC=C(C=C2)/C=N/NC(=O)C3=CC=NC=C3)[N+](=O)[O-],Active,52,,,=,9.249,2.926,21.8,-100,0.5,13,-29.1,5,13.9,-1.6,-8.3,,-10.2,,-27,-29.1
1272,56320251,24981266,CC1=C(SC2=NC=NC(=C12)N3CCC(CC3)C(=O)NC4=NC(=CS4)C5=CC(=C(C=C5)OC)OC)C,Active,59,,,=,1.374,1.123,0,-100,1.57,14,-99.6,-2.3,-1.2,-16.6,-34.8,,-41.1,,-80.7,-99.6
1273,14723513,1458486,CS(=O)(=O)N1CCC2=C1C=CC(=C2)C3=CSC(=N3)NC(=O)CC4=CC=CC=C4,Active,60,,,=,1.084,1.077,6.3,-91.5,3.46,14,-92.7,6.8,-1.3,11.8,,-20.8,,-70.5,-87.5,-92.7
1274,14735346,3685735,CN1C2=CC=CC=C2SC1=NC(=O)CCl,Active,60,,,=,0.973,1.147,25,-100,4,13,-100.6,40.1,24.6,41.2,,-9.5,,-98.3,-100.6,-99.9
1275,49818971,2932493,CC(C)(C)C1=CC=C(C=C1)C(=O)N2CCN(CC2)CCNC(=O)C(=O)NCC3=CC=C(C=C3)Cl,Active,55,,,=,3.433,1.195,12,-100,1.45,12,-35.8,7.1,14.7,2.3,11.6,,-22.3,,-35.8,
1276,17512230,6878016,CC1=CC=CC=C1OCC(=O)N/N=C/C2=CC=C(O2)[N+](=O)[O-],Active,68,,,=,0.151,1.032,0,-97.6,1.97,14,-99.3,-28.3,-63.5,-81.6,,-93.5,,-95.5,-98.1,-99.3
1277,22405728,2352853,CC1=CC(=C(C=C1)C)NC(=O)CC2=C(N(C3=C2C=C(C=C3)OC)C(=O)C4=CC=C(C=C4)Cl)C,Active,60,,,=,0.938,1.082,0,-100,2.56,14,-100.9,-2.4,-1.9,4.6,-46,,-69.8,,-96.4,-100.9
1278,24807085,2169083,COC1=C(C=C(C=C1)CNCCC2=CC=C(C=C2)Cl)OCC3=CC=CC=C3,Active,70,,,<,0.1,,0,-95.9,0.98,14,-94.8,-77.5,-76.8,-93.8,-94.8,,-94.4,,-92.8,-94.7
1279,7970525,4353821,CCCCCN1C2=C(N=C1N3CCC(CC3)CC4=CC=CC=C4)N(C(=O)NC2=O)C,Active,60,,,=,0.971,1.162,0,-100,0.96,13,-98.3,-18.6,-11.5,-30.4,,-43.4,,-63.6,-69.5,-98.3
1280,24810555,16193138,CCN1CCN(CC1)C2=NC3=C(C=C(C=C3)NC(=S)N4CCCCC4)C(=C2)C,Active,56,,,=,2.281,1.077,0,-100,1.95,14,-84.9,-3,-6.2,6.4,,-8.9,,-37.7,-61.9,-84.9
1281,26657899,2084391,C1=CC=C(C=C1)C2=CC=CC=C2NC(=O)CN3C=NC4=C(C3=O)C=CC(=C4)[N+](=O)[O-],Active,62,,,=,0.629,1.113,-5.7,-100.4,1.8,12,-96.7,-10.9,-13.2,-33.1,-62.5,,-80.9,,-96.7,
1282,857434,658785,CC1=NN(C(=O)C2=CC=CC=C12)CC(=O)N,Active,60,,,=,0.903,1.128,-11.9,-100,1.75,11,-91.5,-15.6,-16.6,-21.3,-53.2,,-71,,-91.5,
1283,56322902,881135,C1=CC(=CC(=C1)N2C(=O)C=CC2=O)NC(=O)C3=CC=CS3,Active,57,,,=,2.121,1.139,6.3,-100,4,12,-97.7,12.4,8,-6,1,,7.4,,-90.2,-97.7
1284,17510830,208719,CC1=CC=C(C=C1)N=NC2=C3C=CC=NC3=C(C=C2)O,Active,62,,,=,0.686,1.087,0,-94.4,4,14,-97,0.4,-8,9.5,,-68.4,,-84,-96.5,-97
1285,14728346,1236299,C1CC2=CC=C(C3=CC=CC1=C23)NC4=CC=CC=C4,Active,60,,,=,0.97,1.212,-25,-100,1.73,13,-101.3,-25.9,-32,-35.6,-58.9,,-64.9,,-99.7,-101.3
1286,51086219,24891969,CC1=CC2=C(C=C1)N=C(S2)N(CCN(C)C)C(=O)C3=CC4=C(C=C3)OCCO4.Cl,Active,70,,,=,0.104,1.041,0,-93.9,3.93,12,-97.8,-42.8,-87.2,-84.7,,-92,,-93.1,-96.2,-97.8
1287,3713775,2699085,CN1C(=O)C(=C(N(C1=O)CC2=CC=CC=C2)N)C(=O)CN(C)CC3=C(C=C(C=C3)OC)OC,Active,56,,,=,2.783,1.097,8.8,-100,3.06,14,-90.2,9,7.9,16.4,-2.6,,-2.8,,-52.6,-90.2
1288,17433234,1313639,CC1=CC(=C(C=C1)C)NC(=O)C2=CC(=CC=C2)OC3=C(C=C(C=C3)[N+](=O)[O-])Cl,Active,58,,,=,1.447,1.081,0,-100,1.81,14,-97.6,1.6,-3.8,-5.4,-27.1,,-49.9,,-76.8,-97.6
1289,14742796,2016176,C1=CC=C(C=C1)CCCNC(=O)C2=C(N(C3=NC4=CC=CC=C4N=C23)CC5=CC=CS5)N,Active,57,,,=,2.166,1.095,25,-100,4,14,-101.1,47.2,33,27.9,,23.8,,9.3,-85.6,-101.1
1290,17506967,2902679,CC1=CC=C(C=C1)NC(=O)CCN(C)CCC2=CC(=C(C=C2)OC)OC.Cl,Active,66,,,=,0.227,1.183,0,-104.1,0.92,14,-97.1,-38.6,-40.5,-67.3,,-77.7,,-91.7,-97.1,-96.1
